step,learning_rate
109,1.0001487744167695e-06
110,1.0001514916863255e-06
111,1.0001542335460011e-06
112,1.0001569999957829e-06
113,1.0001597910356547e-06
114,1.0001626066656013e-06
115,1.000165446885608e-06
116,1.0001683116956583e-06
117,1.0001712010957374e-06
118,1.0001741150858286e-06
119,1.000177053665917e-06
120,1.0001800168359858e-06
121,1.0001830045960191e-06
122,1.0001860169460006e-06
123,1.0001890538859136e-06
124,1.0001921154157412e-06
125,1.000195201535468e-06
126,1.000198312245076e-06
127,1.000201447544548e-06
128,1.0002046074338677e-06
129,1.0002077919130176e-06
130,1.0002110009819802e-06
131,1.0002142346407378e-06
132,1.0002174928892729e-06
133,1.0002207757275677e-06
134,1.000224083155604e-06
135,1.0002274151733641e-06
136,1.0002307717808298e-06
137,1.0002341529779819e-06
138,1.000237558764803e-06
139,1.0002409891412744e-06
140,1.0002444441073771e-06
141,1.0002479236630918e-06
142,1.0002514278084e-06
143,1.0002549565432823e-06
144,1.0002585098677195e-06
145,1.0002620877816926e-06
146,1.0002656902851812e-06
147,1.000269317378166e-06
148,1.0002729690606281e-06
149,1.000276645332546e-06
150,1.0002803461939003e-06
151,1.0002840716446707e-06
152,1.0002878216848375e-06
153,1.000291596314379e-06
154,1.0002953955332755e-06
155,1.0002992193415061e-06
156,1.0003030677390498e-06
157,1.000306940725885e-06
158,1.0003108383019913e-06
159,1.0003147604673474e-06
160,1.0003187072219315e-06
161,1.0003226785657217e-06
162,1.0003266744986974e-06
163,1.0003306950208356e-06
164,1.000334740132115e-06
165,1.0003388098325136e-06
166,1.0003429041220085e-06
167,1.0003470230005783e-06
168,1.0003511664681992e-06
169,1.0003553345248495e-06
170,1.0003595271705067e-06
171,1.0003637444051468e-06
172,1.0003679862287477e-06
173,1.0003722526412858e-06
174,1.0003765436427376e-06
175,1.00038085923308e-06
176,1.0003851994122897e-06
177,1.0003895641803422e-06
178,1.000393953537214e-06
179,1.000398367482881e-06
180,1.0004028060173201e-06
181,1.0004072691405052e-06
182,1.0004117568524138e-06
183,1.0004162691530193e-06
184,1.0004208060422992e-06
185,1.0004253675202275e-06
186,1.0004299535867794e-06
187,1.0004345642419298e-06
188,1.0004391994856535e-06
189,1.0004438593179255e-06
190,1.0004485437387203e-06
191,1.0004532527480123e-06
192,1.0004579863457752e-06
193,1.0004627445319836e-06
194,1.0004675273066116e-06
195,1.0004723346696327e-06
196,1.0004771666210212e-06
197,1.00048202316075e-06
198,1.0004869042887928e-06
199,1.0004918100051234e-06
200,1.0004967403097144e-06
201,1.000501695202539e-06
202,1.00050667468357e-06
203,1.000511678752781e-06
204,1.0005167074101437e-06
205,1.0005217606556308e-06
206,1.0005268384892148e-06
207,1.0005319409108685e-06
208,1.0005370679205627e-06
209,1.0005422195182706e-06
210,1.0005473957039637e-06
211,1.000552596477614e-06
212,1.000557821839192e-06
213,1.0005630717886704e-06
214,1.0005683463260195e-06
215,1.0005736454512115e-06
216,1.0005789691642164e-06
217,1.0005843174650062e-06
218,1.0005896903535508e-06
219,1.0005950878298207e-06
220,1.0006005098937875e-06
221,1.0006059565454208e-06
222,1.0006114277846905e-06
223,1.0006169236115676e-06
224,1.0006224440260212e-06
225,1.0006279890280217e-06
226,1.0006335586175387e-06
227,1.0006391527945414e-06
228,1.0006447715590001e-06
229,1.0006504149108833e-06
230,1.0006560828501603e-06
231,1.0006617753767998e-06
232,1.0006674924907716e-06
233,1.000673234192044e-06
234,1.0006790004805856e-06
235,1.0006847913563645e-06
236,1.0006906068193498e-06
237,1.0006964468695092e-06
238,1.000702311506811e-06
239,1.0007082007312231e-06
240,1.0007141145427132e-06
241,1.000720052941249e-06
242,1.0007260159267983e-06
243,1.0007320034993282e-06
244,1.0007380156588065e-06
245,1.0007440524051997e-06
246,1.000750113738475e-06
247,1.0007561996585993e-06
248,1.0007623101655398e-06
249,1.0007684452592624e-06
250,1.000774604939734e-06
251,1.000780789206921e-06
252,1.0007869980607895e-06
253,1.0007932315013051e-06
254,1.0007994895284342e-06
255,1.000805772142143e-06
256,1.000812079342396e-06
257,1.00081841112916e-06
258,1.0008247675023998e-06
259,1.0008311484620803e-06
260,1.0008375540081674e-06
261,1.0008439841406254e-06
262,1.0008504388594198e-06
263,1.0008569181645152e-06
264,1.0008634220558757e-06
265,1.0008699505334663e-06
266,1.000876503597251e-06
267,1.0008830812471936e-06
268,1.0008896834832594e-06
269,1.000896310305411e-06
270,1.0009029617136133e-06
271,1.0009096377078292e-06
272,1.000916338288022e-06
273,1.000923063454156e-06
274,1.0009298132061937e-06
275,1.0009365875440987e-06
276,1.0009433864678333e-06
277,1.0009502099773612e-06
278,1.0009570580726446e-06
279,1.0009639307536463e-06
280,1.0009708280203287e-06
281,1.0009777498726539e-06
282,1.000984696310584e-06
283,1.0009916673340812e-06
284,1.0009986629431077e-06
285,1.001005683137625e-06
286,1.001012727917595e-06
287,1.001019797282979e-06
288,1.0010268912337377e-06
289,1.0010340097698334e-06
290,1.0010411528912267e-06
291,1.001048320597879e-06
292,1.0010555128897505e-06
293,1.001062729766802e-06
294,1.0010699712289944e-06
295,1.0010772372762877e-06
296,1.0010845279086427e-06
297,1.0010918431260194e-06
298,1.0010991829283774e-06
299,1.0011065473156773e-06
300,1.0011139362878779e-06
301,1.0011213498449402e-06
302,1.0011287879868221e-06
303,1.0011362507134843e-06
304,1.001143738024885e-06
305,1.0011512499209841e-06
306,1.0011587864017401e-06
307,1.001166347467112e-06
308,1.0011739331170587e-06
309,1.0011815433515378e-06
310,1.0011891781705088e-06
311,1.0011968375739293e-06
312,1.0012045215617574e-06
313,1.0012122301339518e-06
314,1.00121996329047e-06
315,1.0012277210312692e-06
316,1.0012355033563082e-06
317,1.0012433102655432e-06
318,1.0012511417589326e-06
319,1.0012589978364326e-06
320,1.0012668784980013e-06
321,1.001274783743595e-06
322,1.0012827135731706e-06
323,1.0012906679866843e-06
324,1.0012986469840937e-06
325,1.0013066505653545e-06
326,1.0013146787304227e-06
327,1.0013227314792553e-06
328,1.0013308088118076e-06
329,1.0013389107280356e-06
330,1.0013470372278956e-06
331,1.001355188311342e-06
332,1.0013633639783314e-06
333,1.0013715642288184e-06
334,1.001379789062759e-06
335,1.001388038480107e-06
336,1.001396312480818e-06
337,1.001404611064847e-06
338,1.001412934232149e-06
339,1.0014212819826773e-06
340,1.0014296543163872e-06
341,1.001438051233233e-06
342,1.0014464727331679e-06
343,1.001454918816147e-06
344,1.0014633894821235e-06
345,1.0014718847310514e-06
346,1.0014804045628838e-06
347,1.0014889489775747e-06
348,1.0014975179750773e-06
349,1.0015061115553446e-06
350,1.0015147297183293e-06
351,1.0015233724639849e-06
352,1.0015320397922646e-06
353,1.0015407317031196e-06
354,1.0015494481965037e-06
355,1.0015581892723684e-06
356,1.0015669549306665e-06
357,1.00157574517135e-06
358,1.0015845599943704e-06
359,1.0015933993996807e-06
360,1.001602263387231e-06
361,1.0016111519569738e-06
362,1.0016200651088608e-06
363,1.0016290028428423e-06
364,1.0016379651588706e-06
365,1.0016469520568958e-06
366,1.0016559635368695e-06
367,1.0016649995987418e-06
368,1.0016740602424636e-06
369,1.0016831454679855e-06
370,1.001692255275258e-06
371,1.0017013896642309e-06
372,1.0017105486348542e-06
373,1.0017197321870783e-06
374,1.0017289403208534e-06
375,1.0017381730361276e-06
376,1.0017474303328524e-06
377,1.001756712210976e-06
378,1.0017660186704476e-06
379,1.001775349711217e-06
380,1.0017847053332327e-06
381,1.0017940855364439e-06
382,1.0018034903207992e-06
383,1.001812919686247e-06
384,1.0018223736327368e-06
385,1.0018318521602152e-06
386,1.001841355268632e-06
387,1.0018508829579343e-06
388,1.0018604352280702e-06
389,1.001870012078988e-06
390,1.0018796135106348e-06
391,1.001889239522958e-06
392,1.0018988901159058e-06
393,1.0019085652894252e-06
394,1.0019182650434627e-06
395,1.0019279893779657e-06
396,1.0019377382928811e-06
397,1.001947511788156e-06
398,1.0019573098637362e-06
399,1.0019671325195688e-06
400,1.0019769797556e-06
401,1.0019868515717754e-06
402,1.0019967479680418e-06
403,1.002006668944345e-06
404,1.00201661450063e-06
405,1.0020265846368434e-06
406,1.0020365793529308e-06
407,1.0020465986488367e-06
408,1.002056642524507e-06
409,1.0020667109798863e-06
410,1.0020768040149205e-06
411,1.0020869216295536e-06
412,1.0020970638237306e-06
413,1.0021072305973961e-06
414,1.0021174219504945e-06
415,1.00212763788297e-06
416,1.0021378783947666e-06
417,1.0021481434858286e-06
418,1.0021584331561006e-06
419,1.002168747405525e-06
420,1.0021790862340463e-06
421,1.002189449641608e-06
422,1.0021998376281533e-06
423,1.0022102501936252e-06
424,1.002220687337967e-06
425,1.0022311490611222e-06
426,1.0022416353630327e-06
427,1.0022521462436416e-06
428,1.0022626817028916e-06
429,1.0022732417407252e-06
430,1.002283826357084e-06
431,1.0022944355519112e-06
432,1.0023050693251478e-06
433,1.0023157276767364e-06
434,1.0023264106066181e-06
435,1.0023371181147358e-06
436,1.0023478502010296e-06
437,1.0023586068654412e-06
438,1.0023693881079125e-06
439,1.0023801939283839e-06
440,1.0023910243267965e-06
441,1.002401879303091e-06
442,1.0024127588572084e-06
443,1.0024236629890895e-06
444,1.0024345916986736e-06
445,1.0024455449859018e-06
446,1.0024565228507141e-06
447,1.0024675252930507e-06
448,1.0024785523128515e-06
449,1.002489603910056e-06
450,1.0025006800846034e-06
451,1.0025117808364337e-06
452,1.0025229061654867e-06
453,1.0025340560717005e-06
454,1.0025452305550153e-06
455,1.0025564296153688e-06
456,1.0025676532527009e-06
457,1.00257890146695e-06
458,1.002590174258054e-06
459,1.0026014716259521e-06
460,1.002612793570582e-06
461,1.0026241400918824e-06
462,1.0026355111897908e-06
463,1.0026469068642447e-06
464,1.0026583271151832e-06
465,1.0026697719425426e-06
466,1.002681241346261e-06
467,1.0026927353262751e-06
468,1.0027042538825228e-06
469,1.0027157970149408e-06
470,1.0027273647234664e-06
471,1.0027389570080357e-06
472,1.0027505738685856e-06
473,1.002762215305053e-06
474,1.0027738813173741e-06
475,1.0027855719054846e-06
476,1.0027972870693218e-06
477,1.0028090268088202e-06
478,1.0028207911239174e-06
479,1.002832580014547e-06
480,1.0028443934806465e-06
481,1.0028562315221504e-06
482,1.0028680941389943e-06
483,1.0028799813311129e-06
484,1.0028918930984414e-06
485,1.0029038294409154e-06
486,1.0029157903584686e-06
487,1.0029277758510367e-06
488,1.0029397859185536e-06
489,1.0029518205609532e-06
490,1.0029638797781712e-06
491,1.0029759635701401e-06
492,1.002988071936795e-06
493,1.0030002048780692e-06
494,1.0030123623938963e-06
495,1.0030245444842103e-06
496,1.0030367511489442e-06
497,1.0030489823880313e-06
498,1.0030612382014054e-06
499,1.0030735185889988e-06
500,1.0030858235507447e-06
501,1.0030981530865756e-06
502,1.0031105071964247e-06
503,1.0031228858802236e-06
504,1.003135289137906e-06
505,1.0031477169694026e-06
506,1.0031601693746465e-06
507,1.0031726463535696e-06
508,1.0031851479061027e-06
509,1.003197674032179e-06
510,1.0032102247317293e-06
511,1.0032228000046842e-06
512,1.0032353998509765e-06
513,1.0032480242705363e-06
514,1.0032606732632948e-06
515,1.0032733468291837e-06
516,1.0032860449681326e-06
517,1.0032987676800724e-06
518,1.0033115149649343e-06
519,1.0033242868226475e-06
520,1.0033370832531434e-06
521,1.0033499042563509e-06
522,1.0033627498322008e-06
523,1.003375619980623e-06
524,1.003388514701546e-06
525,1.0034014339949006e-06
526,1.0034143778606153e-06
527,1.0034273462986203e-06
528,1.003440339308844e-06
529,1.0034533568912157e-06
530,1.003466399045664e-06
531,1.003479465772118e-06
532,1.0034925570705058e-06
533,1.0035056729407561e-06
534,1.0035188133827974e-06
535,1.0035319783965581e-06
536,1.0035451679819656e-06
537,1.0035583821389482e-06
538,1.0035716208674337e-06
539,1.00358488416735e-06
540,1.0035981720386238e-06
541,1.003611484481183e-06
542,1.0036248214949554e-06
543,1.0036381830798675e-06
544,1.0036515692358462e-06
545,1.003664979962818e-06
546,1.0036784152607108e-06
547,1.0036918751294504e-06
548,1.0037053595689633e-06
549,1.0037188685791758e-06
550,1.0037324021600139e-06
551,1.0037459603114043e-06
552,1.0037595430332722e-06
553,1.003773150325544e-06
554,1.0037867821881448e-06
555,1.0038004386210004e-06
556,1.0038141196240357e-06
557,1.0038278251971768e-06
558,1.003841555340348e-06
559,1.0038553100534752e-06
560,1.0038690893364822e-06
561,1.003882893189294e-06
562,1.0038967216118355e-06
563,1.003910574604031e-06
564,1.0039244521658046e-06
565,1.0039383542970808e-06
566,1.0039522809977836e-06
567,1.0039662322678362e-06
568,1.003980208107163e-06
569,1.0039942085156876e-06
570,1.0040082334933337e-06
571,1.0040222830400239e-06
572,1.0040363571556822e-06
573,1.0040504558402315e-06
574,1.0040645790935944e-06
575,1.0040787269156938e-06
576,1.0040928993064527e-06
577,1.0041070962657934e-06
578,1.0041213177936387e-06
579,1.0041355638899104e-06
580,1.0041498345545309e-06
581,1.0041641297874218e-06
582,1.0041784495885057e-06
583,1.0041927939577042e-06
584,1.0042071628949382e-06
585,1.0042215564001298e-06
586,1.0042359744732008e-06
587,1.004250417114071e-06
588,1.0042648843226628e-06
589,1.0042793760988968e-06
590,1.0042938924426932e-06
591,1.0043084333539739e-06
592,1.004322998832658e-06
593,1.0043375888786663e-06
594,1.00435220349192e-06
595,1.0043668426723382e-06
596,1.004381506419842e-06
597,1.0043961947343496e-06
598,1.0044109076157823e-06
599,1.0044256450640592e-06
600,1.004440407079099e-06
601,1.0044551936608221e-06
602,1.0044700048091474e-06
603,1.0044848405239934e-06
604,1.00449970080528e-06
605,1.004514585652925e-06
606,1.0045294950668479e-06
607,1.0045444290469665e-06
608,1.0045593875932e-06
609,1.0045743707054659e-06
610,1.0045893783836827e-06
611,1.004604410627768e-06
612,1.00461946743764e-06
613,1.004634548813217e-06
614,1.0046496547544154e-06
615,1.0046647852611533e-06
616,1.004679940333348e-06
617,1.0046951199709169e-06
618,1.004710324173776e-06
619,1.0047255529418437e-06
620,1.0047408062750357e-06
621,1.0047560841732693e-06
622,1.0047713866364608e-06
623,1.004786713664526e-06
624,1.004802065257382e-06
625,1.0048174414149447e-06
626,1.0048328421371294e-06
627,1.0048482674238527e-06
628,1.00486371727503e-06
629,1.0048791916905776e-06
630,1.0048946906704095e-06
631,1.0049102142144417e-06
632,1.0049257623225897e-06
633,1.0049413349947685e-06
634,1.0049569322308927e-06
635,1.0049725540308774e-06
636,1.0049882003946363e-06
637,1.0050038713220852e-06
638,1.0050195668131374e-06
639,1.005035286867708e-06
640,1.0050510314857103e-06
641,1.0050668006670585e-06
642,1.0050825944116672e-06
643,1.005098412719449e-06
644,1.005114255590318e-06
645,1.005130123024188e-06
646,1.005146015020971e-06
647,1.0051619315805814e-06
648,1.005177872702932e-06
649,1.005193838387935e-06
650,1.005209828635504e-06
651,1.0052258434455512e-06
652,1.0052418828179888e-06
653,1.0052579467527296e-06
654,1.0052740352496863e-06
655,1.00529014830877e-06
656,1.0053062859298929e-06
657,1.0053224481129671e-06
658,1.005338634857904e-06
659,1.0053548461646156e-06
660,1.0053710820330128e-06
661,1.0053873424630068e-06
662,1.0054036274545097e-06
663,1.0054199370074314e-06
664,1.005436271121683e-06
665,1.0054526297971757e-06
666,1.0054690130338196e-06
667,1.0054854208315255e-06
668,1.0055018531902038e-06
669,1.005518310109765e-06
670,1.005534791590118e-06
671,1.0055512976311734e-06
672,1.0055678282328414e-06
673,1.005584383395031e-06
674,1.0056009631176524e-06
675,1.0056175674006144e-06
676,1.0056341962438268e-06
677,1.005650849647198e-06
678,1.005667527610638e-06
679,1.0056842301340543e-06
680,1.0057009572173573e-06
681,1.0057177088604538e-06
682,1.0057344850632543e-06
683,1.005751285825665e-06
684,1.0057681111475953e-06
685,1.0057849610289534e-06
686,1.0058018354696467e-06
687,1.0058187344695832e-06
688,1.0058356580286703e-06
689,1.0058526061468162e-06
690,1.0058695788239269e-06
691,1.005886576059911e-06
692,1.0059035978546753e-06
693,1.0059206442081267e-06
694,1.005937715120172e-06
695,1.0059548105907178e-06
696,1.0059719306196707e-06
697,1.0059890752069376e-06
698,1.006006244352424e-06
699,1.0060234380560368e-06
700,1.0060406563176817e-06
701,1.006057899137265e-06
702,1.0060751665146918e-06
703,1.006092458449868e-06
704,1.0061097749426993e-06
705,1.0061271159930908e-06
706,1.0061444816009482e-06
707,1.0061618717661759e-06
708,1.0061792864886794e-06
709,1.0061967257683638e-06
710,1.006214189605133e-06
711,1.0062316779988922e-06
712,1.0062491909495459e-06
713,1.0062667284569976e-06
714,1.006284290521152e-06
715,1.006301877141913e-06
716,1.0063194883191853e-06
717,1.0063371240528712e-06
718,1.0063547843428754e-06
719,1.006372469189101e-06
720,1.0063901785914515e-06
721,1.0064079125498298e-06
722,1.0064256710641393e-06
723,1.0064434541342832e-06
724,1.0064612617601642e-06
725,1.0064790939416845e-06
726,1.0064969506787465e-06
727,1.0065148319712539e-06
728,1.0065327378191076e-06
729,1.0065506682222104e-06
730,1.0065686231804646e-06
731,1.0065866026937714e-06
732,1.006604606762033e-06
733,1.006622635385151e-06
734,1.0066406885630266e-06
735,1.006658766295561e-06
736,1.0066768685826564e-06
737,1.0066949954242125e-06
738,1.0067131468201315e-06
739,1.0067313227703133e-06
740,1.006749523274659e-06
741,1.006767748333069e-06
742,1.0067859979454437e-06
743,1.006804272111684e-06
744,1.0068225708316887e-06
745,1.006840894105359e-06
746,1.0068592419325942e-06
747,1.0068776143132944e-06
748,1.0068960112473591e-06
749,1.006914432734687e-06
750,1.0069328787751786e-06
751,1.0069513493687328e-06
752,1.0069698445152475e-06
753,1.0069883642146237e-06
754,1.0070069084667585e-06
755,1.0070254772715514e-06
756,1.0070440706289006e-06
757,1.0070626885387045e-06
758,1.0070813310008608e-06
759,1.007099998015269e-06
760,1.007118689581826e-06
761,1.0071374057004305e-06
762,1.0071561463709795e-06
763,1.0071749115933705e-06
764,1.0071937013675015e-06
765,1.0072125156932694e-06
766,1.007231354570572e-06
767,1.0072502179993056e-06
768,1.0072691059793676e-06
769,1.0072880185106542e-06
770,1.0073069555930628e-06
771,1.0073259172264898e-06
772,1.007344903410831e-06
773,1.007363914145983e-06
774,1.0073829494318421e-06
775,1.0074020092683041e-06
776,1.007421093655265e-06
777,1.0074402025926198e-06
778,1.0074593360802652e-06
779,1.0074784941180959e-06
780,1.0074976767060074e-06
781,1.0075168838438945e-06
782,1.0075361155316529e-06
783,1.0075553717691774e-06
784,1.0075746525563622e-06
785,1.007593957893103e-06
786,1.007613287779293e-06
787,1.0076326422148274e-06
788,1.0076520211996004e-06
789,1.0076714247335053e-06
790,1.0076908528164368e-06
791,1.0077103054482891e-06
792,1.0077297826289556e-06
793,1.0077492843583288e-06
794,1.007768810636304e-06
795,1.0077883614627726e-06
796,1.0078079368376293e-06
797,1.0078275367607663e-06
798,1.0078471612320766e-06
799,1.0078668102514532e-06
800,1.0078864838187885e-06
801,1.007906181933975e-06
802,1.0079259045969048e-06
803,1.007945651807471e-06
804,1.0079654235655647e-06
805,1.0079852198710787e-06
806,1.0080050407239042e-06
807,1.008024886123933e-06
808,1.0080447560710572e-06
809,1.0080646505651673e-06
810,1.0080845696061554e-06
811,1.0081045131939122e-06
812,1.008124481328328e-06
813,1.0081444740092954e-06
814,1.008164491236704e-06
815,1.0081845330104446e-06
816,1.0082045993304083e-06
817,1.008224690196484e-06
818,1.008244805608563e-06
819,1.0082649455665354e-06
820,1.0082851100702907e-06
821,1.008305299119719e-06
822,1.0083255127147103e-06
823,1.0083457508551531e-06
824,1.0083660135409375e-06
825,1.008386300771953e-06
826,1.0084066125480881e-06
827,1.0084269488692323e-06
828,1.0084473097352743e-06
829,1.0084676951461032e-06
830,1.008488105101607e-06
831,1.0085085396016739e-06
832,1.0085289986461935e-06
833,1.0085494822350526e-06
834,1.0085699903681404e-06
835,1.0085905230453442e-06
836,1.0086110802665517e-06
837,1.008631662031651e-06
838,1.0086522683405295e-06
839,1.0086728991930744e-06
840,1.008693554589173e-06
841,1.0087142345287128e-06
842,1.00873493901158e-06
843,1.0087556680376626e-06
844,1.0087764216068463e-06
845,1.0087971997190176e-06
846,1.0088180023740642e-06
847,1.0088388295718714e-06
848,1.0088596813123254e-06
849,1.0088805575953126e-06
850,1.008901458420719e-06
851,1.0089223837884297e-06
852,1.008943333698331e-06
853,1.0089643081503087e-06
854,1.0089853071442473e-06
855,1.0090063306800327e-06
856,1.0090273787575496e-06
857,1.0090484513766833e-06
858,1.0090695485373182e-06
859,1.0090906702393396e-06
860,1.0091118164826314e-06
861,1.009132987267079e-06
862,1.0091541825925663e-06
863,1.0091754024589768e-06
864,1.009196646866195e-06
865,1.0092179158141055e-06
866,1.009239209302591e-06
867,1.0092605273315356e-06
868,1.0092818699008225e-06
869,1.0093032370103357e-06
870,1.0093246286599583e-06
871,1.0093460448495732e-06
872,1.009367485579063e-06
873,1.009388950848311e-06
874,1.0094104406572e-06
875,1.0094319550056122e-06
876,1.00945349389343e-06
877,1.0094750573205364e-06
878,1.0094966452868126e-06
879,1.0095182577921415e-06
880,1.009539894836404e-06
881,1.0095615564194828e-06
882,1.0095832425412592e-06
883,1.0096049532016147e-06
884,1.0096266884004305e-06
885,1.0096484481375882e-06
886,1.0096702324129682e-06
887,1.0096920412264524e-06
888,1.0097138745779206e-06
889,1.0097357324672541e-06
890,1.009757614894334e-06
891,1.0097795218590392e-06
892,1.0098014533612516e-06
893,1.00982340940085e-06
894,1.0098453899777152e-06
895,1.0098673950917272e-06
896,1.0098894247427655e-06
897,1.0099114789307094e-06
898,1.0099335576554383e-06
899,1.0099556609168324e-06
900,1.0099777887147704e-06
901,1.0099999410491313e-06
902,1.0100221179197943e-06
903,1.0100443193266381e-06
904,1.0100665452695413e-06
905,1.0100887957483822e-06
906,1.0101110707630395e-06
907,1.0101333703133918e-06
908,1.0101556943993166e-06
909,1.0101780430206925e-06
910,1.010200416177397e-06
911,1.0102228138693075e-06
912,1.0102452360963026e-06
913,1.0102676828582588e-06
914,1.0102901541550546e-06
915,1.0103126499865657e-06
916,1.0103351703526698e-06
917,1.0103577152532441e-06
918,1.0103802846881655e-06
919,1.0104028786573102e-06
920,1.010425497160555e-06
921,1.0104481401977763e-06
922,1.0104708077688499e-06
923,1.0104934998736526e-06
924,1.01051621651206e-06
925,1.0105389576839487e-06
926,1.0105617233891935e-06
927,1.01058451362767e-06
928,1.0106073283992539e-06
929,1.010630167703821e-06
930,1.010653031541246e-06
931,1.0106759199114035e-06
932,1.010698832814169e-06
933,1.0107217702494179e-06
934,1.0107447322170242e-06
935,1.0107677187168617e-06
936,1.010790729748806e-06
937,1.010813765312731e-06
938,1.0108368254085104e-06
939,1.0108599100360184e-06
940,1.0108830191951291e-06
941,1.0109061528857159e-06
942,1.0109293111076529e-06
943,1.0109524938608126e-06
944,1.010975701145069e-06
945,1.0109989329602955e-06
946,1.0110221893063645e-06
947,1.0110454701831492e-06
948,1.0110687755905226e-06
949,1.011092105528357e-06
950,1.0111154599965252e-06
951,1.0111388389948995e-06
952,1.0111622425233516e-06
953,1.0111856705817544e-06
954,1.0112091231699793e-06
955,1.0112326002878985e-06
956,1.0112561019353836e-06
957,1.0112796281123068e-06
958,1.0113031788185384e-06
959,1.0113267540539499e-06
960,1.011350353818413e-06
961,1.0113739781117984e-06
962,1.011397626933977e-06
963,1.01142130028482e-06
964,1.011444998164198e-06
965,1.0114687205719806e-06
966,1.0114924675080392e-06
967,1.0115162389722433e-06
968,1.0115400349644634e-06
969,1.0115638554845694e-06
970,1.0115877005324312e-06
971,1.0116115701079182e-06
972,1.0116354642109005e-06
973,1.0116593828412469e-06
974,1.0116833259988263e-06
975,1.01170729368351e-06
976,1.0117312858951642e-06
977,1.0117553026336601e-06
978,1.0117793438988647e-06
979,1.0118034096906482e-06
980,1.011827500008878e-06
981,1.0118516148534226e-06
982,1.0118757542241505e-06
983,1.0118999181209295e-06
984,1.0119241065436279e-06
985,1.0119483194921135e-06
986,1.0119725569662537e-06
987,1.011996818965916e-06
988,1.0120211054909685e-06
989,1.0120454165412774e-06
990,1.0120697521167107e-06
991,1.012094112217135e-06
992,1.0121184968424174e-06
993,1.0121429059924248e-06
994,1.0121673396670234e-06
995,1.01219179786608e-06
996,1.0122162805894606e-06
997,1.0122407878370319e-06
998,1.0122653196086594e-06
999,1.0122898759042094e-06
1000,1.0123144567235478e-06
1001,1.01233906206654e-06
1002,1.0123636919330518e-06
1003,1.0123883463229484e-06
1004,1.012413025236095e-06
1005,1.0124377286723566e-06
1006,1.0124624566315992e-06
1007,1.0124872091136868e-06
1008,1.0125119861184837e-06
1009,1.0125367876458554e-06
1010,1.0125616136956659e-06
1011,1.01258646426778e-06
1012,1.012611339362062e-06
1013,1.0126362389783747e-06
